market,ethnicity,age_group,category,severity,guideline_text
malaysia,malay,all_ages,body_exposure,high,"Female hair (aurat) must not be shown uncovered in advertisements targeting Malay audiences. The hair is considered part of a woman's aurat and must be covered with a hijab or similar head covering in all visual depictions."
malaysia,malay,all_ages,body_exposure,high,"Female arms above the elbow must not be exposed in advertisements targeting Malay audiences. Sleeveless tops, tank tops, and short-sleeved garments revealing upper arms violate aurat rules."
malaysia,malay,all_ages,body_exposure,high,"Female legs above the knee must not be shown in advertisements targeting Malay audiences. Skirts, shorts, or dresses above knee length violate aurat standards for women."
malaysia,malay,all_ages,body_exposure,high,"Male torso must not be shown bare or uncovered in advertisements targeting Malay audiences. Shirtless male depictions are considered inappropriate regardless of the product being advertised."
malaysia,malay,all_ages,modesty,high,"Clothing in advertisements must be loose-fitting and non-transparent for female models targeting Malay audiences. Tight or body-hugging garments that reveal body contours are considered immodest."
malaysia,malay,all_ages,modesty,medium,"Male models in advertisements targeting Malay audiences should wear clothing that covers from navel to knee at minimum. Swimwear or underwear advertisements require careful framing."
malaysia,malay,all_ages,halal_compliance,high,"Cosmetics and skincare products advertised to Malay audiences must not contain or reference non-halal ingredients such as alcohol, pig-derived collagen, or animal fats from non-halal sources."
malaysia,malay,all_ages,halal_compliance,medium,"Lifestyle products including perfumes, supplements, and household items advertised to Malay audiences should highlight halal certification or avoid ingredients that may raise halal concerns."
malaysia,malay,all_ages,religious_sensitivity,high,"Advertisements must not depict prayer times (solat) in a casual or disrespectful manner. Mosque imagery must not be used as mere decorative backdrop for commercial products."
malaysia,malay,all_ages,religious_sensitivity,high,"Quran verses, Arabic calligraphy of religious text, and Islamic symbols must not be placed on floors, footwear, or items that may be considered disrespectful in their placement or usage context."
malaysia,malay,all_ages,suggestive_content,high,"Close physical contact between unrelated males and females must not be depicted in advertisements targeting Malay audiences. This includes hugging, hand-holding, and any intimate gestures between non-mahram individuals."
malaysia,malay,all_ages,suggestive_content,high,"Applying products to intimate body areas must not be shown in advertisements targeting Malay audiences. This includes deodorant application to underarms, lotion on thighs, or any product demonstration on private body zones."
malaysia,malay,all_ages,suggestive_content,high,"Suggestive body movements including sensual dancing, hip movements, or provocative poses must not be depicted in advertisements targeting Malay audiences regardless of the product category."
malaysia,malay,all_ages,food_taboos,high,"Alcohol products or brands must not appear in advertisements targeting Malay audiences. Products must not be shown adjacent to or associated with alcoholic beverages in any visual context."
malaysia,malay,all_ages,food_taboos,high,"Pork and pork-derived ingredients must not be referenced or shown in advertisements targeting Malay audiences. This extends to non-food products containing pork-derived gelatin or other pig byproducts."
malaysia,malay,all_ages,religious_sensitivity,medium,"Advertisements during Ramadan must be sensitive to fasting practices. Showing people eating or drinking during daylight hours in Ramadan-themed campaigns is considered disrespectful."
malaysia,malay,children,body_exposure,high,"Children's advertisements targeting Malay audiences must show all child models in modest clothing covering arms and legs regardless of gender. Swimwear advertisements must use appropriate modest alternatives."
malaysia,malay,adults_only,suggestive_content,medium,"Even in adults-only contexts targeting Malay audiences, romantic scenes must be limited to married couples and must not show physical intimacy beyond what is culturally acceptable in public settings."
malaysia,chinese,all_ages,superstitions,medium,"Clocks must not be shown as gifts in advertisements targeting Chinese audiences. Giving a clock (song zhong) sounds like attending a funeral (song zhong) in Mandarin and is considered extremely inauspicious."
malaysia,chinese,all_ages,superstitions,medium,"Mirrors must not be depicted as broken or cracked in advertisements targeting Chinese audiences. Broken mirrors symbolize broken relationships and seven years of bad luck."
malaysia,chinese,all_ages,superstitions,medium,"Umbrellas must not be shown being opened indoors in advertisements targeting Chinese audiences. Opening an umbrella indoors is believed to invite ghosts and negative spirits into the home."
malaysia,chinese,all_ages,number_symbolism,medium,"The number 4 (associated with death in Chinese culture as 'si' sounds like 'death') should be avoided in pricing, product quantities, and phone numbers shown in advertisements. Do not use 4 as a featured number in promotions."
malaysia,chinese,all_ages,number_symbolism,low,"The number 8 (associated with prosperity and wealth as 'ba' sounds like 'fa' meaning fortune) is preferred in pricing and quantities. Using 8 in product pricing signals good fortune to Chinese audiences."
