id,source,regulator,framework,category,rule_title,rule_text,applies_to,enforcement,effective_date,last_updated,tags,created_at
SG-IMDA-001,Singapore,IMDA,Code of Practice for Online Safety (Online Safety Code) 2023,Prohibited/Harmful Content – 6 Categories,Six Categories of Harmful Content Platforms Must Moderate,Designated social media services must minimise end-users' exposure to: (1) Sexual content; (2) Violent content; (3) Suicide and self-harm content; (4) Cyberbullying content; (5) Content endangering public health; (6) Content facilitating vice and organised crime.,"Designated Social Media Services: Facebook, Instagram, TikTok, YouTube, Twitter/X, HardwareZone",Fine up to SGD 1 million or direction to block the service in Singapore,18/7/2023,18/7/2023,harmful_content|sexual_content|violence|self_harm|cyberbullying|public_health|organised_crime,
SG-IMDA-002,Singapore,IMDA,Code of Practice for Online Safety (Online Safety Code) 2023,Child Protection,Children Must Not Be Targeted with Harmful Content; Differentiated Accounts Required,"Children must not be targeted to receive content that is detrimental to their physical or mental well-being, including via advertisements, promoted content, and content recommendations. Children must be provided differentiated accounts with more restrictive default settings that are age-appropriate. Robust settings must be on by default and clear warnings must be given if children opt out.",Designated Social Media Services,Fine up to SGD 1 million or service blocking,18/7/2023,18/11/2024,children|child_safety|differentiated_accounts|mental_health|advertising|targeting|default_settings,
SG-IMDA-003,Singapore,IMDA,Code of Practice for Online Safety (Online Safety Code) 2023 + Nov 2024 Update,Advertising – Minor Protection,No Advertisements on Accounts of Users Under 18,Accounts belonging to users under 18 years old should be free of advertisements. Advertisements that could have a harmful effect on young users' mental health must be kept away from them.,Designated Social Media Services operating in Singapore,Fine up to SGD 1 million or service blocking,18/11/2024,18/11/2024,advertising|under_18|minors|mental_health|child_protection|no_ads,
SG-IMDA-004,Singapore,IMDA,Code of Practice for Online Safety 2023,Proactive Detection,Proactive Detection and Removal of CSAM and Terrorism Content,"Designated services must minimise end-user exposure to child sexual exploitation and abuse material (CSAM) and terrorism content through the use of technologies and processes. These must proactively detect and swiftly remove such content as technically feasible, minimising the time such content is available.",Designated Social Media Services,Fine up to SGD 1 million or service blocking,18/7/2023,18/7/2023,CSAM|terrorism|proactive_detection|content_removal|child_safety,
SG-IMDA-005,Singapore,IMDA,Code of Practice for Online Safety 2023,User Safety Tools,Platforms Must Provide User Safety Tools Including High-Risk Search Term Intervention,"End-users must have access to tools to restrict visibility of harmful content, limit account visibility, and limit location sharing. Users who use high-risk search terms relating to self-harm and suicide must be actively offered relevant safety information such as local suicide prevention hotlines.",Designated Social Media Services,Part of annual online safety report assessment,18/7/2023,18/7/2023,user_safety|self_harm|suicide|search_terms|safety_tools|hotlines,
SG-IMDA-006,Singapore,IMDA,Code of Practice for Online Safety 2023,User Reporting and Resolution,Effective and Transparent User Reporting Mechanism Required,"Platforms must provide an effective, transparent, easy to access and easy to use mechanism for end-users to report harmful content. Reports must be assessed and actioned in a timely, diligent manner proportionate to the severity of potential harm. End-users must be informed of the decision and may request a review of the decision.",Designated Social Media Services,Fine up to SGD 1 million or service blocking,18/7/2023,18/11/2024,user_reporting|transparency|appeals|reporting_mechanism|timely_action,
SG-IMDA-007,Singapore,IMDA,Code of Practice for Online Safety 2023,Accountability,Annual Online Safety Reports to IMDA (Publicly Published),Designated services must submit annual online safety reports to IMDA for publishing on IMDA's website. Reports must cover: steps taken to mitigate Singapore users' exposure to harmful content; types and volume of harmful content encountered; and actions taken on user reports including number of accounts suspended or banned.,Designated Social Media Services,IMDA may direct platforms to comply; non-compliance leads to fines or blocking,18/7/2023,18/7/2023,annual_report|accountability|transparency|IMDA|safety_metrics,
SG-IMDA-008,Singapore,IMDA,Internet Code of Practice (ICOP),Prohibited Online Content,Prohibition on Content That Incites Racial or Religious Hatred,"Online content must not depict or promote any matter likely to cause feelings of enmity, ill-will, or hostility between different racial or religious groups in Singapore. Content must not contain ethnic, racial, or religious hatred, strife or intolerance, including disrespectful images of religious figures or objects.",All licensed internet content providers and social media in Singapore,IMDA enforcement action; licence suspension or criminal charges under the Sedition Act,15/7/1996,1/1/2022,racial_harmony|religious_harmony|hate_speech|sedition|Singapore,
TT-ADS-001,TikTok,TikTok For Business,TikTok Advertising Policies (Global) – Updated February 2025,Prohibited – Absolute Bans,Prohibited Products and Services – No Exceptions,"The following are absolutely prohibited from advertising on TikTok globally: illegal products or services; weapons, ammunition, explosive devices; tobacco products including e-cigarettes; prescription-only medicines; psychoactive substances and related paraphernalia; adult/sexual content; counterfeit goods; fake documents; software for covert surveillance; political campaign materials; content inciting hate speech or discrimination.",All TikTok advertisers globally,Instant ad rejection; repeated violations may result in account suspension or permanent ban from all ByteDance platforms,1/2/2025,1/4/2026,prohibited|weapons|tobacco|drugs|adult_content|counterfeit|political|hate_speech,
TT-ADS-002,TikTok,TikTok For Business,TikTok Advertising Policies (Global) – Updated February 2025,Restricted – Pre-Approval Required,Restricted Categories Requiring Pre-Approval and Licensing Documentation,"The following categories are restricted and require prior approval, documentation and/or licensing before running ads: financial services and cryptocurrency (no guaranteed returns, 18+ targeting mandatory); health supplements, skincare, over-the-counter pharmaceuticals (no 'clinically proven' claims without peer-reviewed evidence; no before/after imagery); dating and adult products (market-specific licensing and responsible messaging); online gambling (market-specific licensing required).",All TikTok advertisers in applicable markets,Ad rejection until documentation verified; account review on repeated non-compliance,1/2/2025,1/8/2025,restricted|financial_services|crypto|health_supplements|dating|gambling|pre_approval,
