source_authority,topic_category,guideline_text
IMDA,Racial/Religious Harmony,"Advertisements must not contain material that promotes hostility, hatred, or ill-will between different racial or religious groups in Singapore."
IMDA,Racial/Religious Harmony,"Content must not ridicule, mock, or denigrate any racial or religious group, their beliefs, practices, or customs."
IMDA,Racial/Religious Harmony,"Advertisements must not portray any racial or religious group in a derogatory or stereotypical manner that could incite disharmony."
IMDA,Racial/Religious Harmony,"Content depicting religious symbols, places of worship, or sacred texts must treat them with respect and not use them for inappropriate commercial purposes."
IMDA,Racial/Religious Harmony,"Advertisements must not exploit racial or religious sentiments to promote products or services in a manner that could cause offence to any community."
IMDA,Racial/Religious Harmony,"Content must not suggest the superiority of any race or religion over another, whether explicitly or through implication."
IMDA,Public Morals,"Advertisements must not contain material that is obscene, indecent, or likely to be offensive to public morals and decency standards in Singapore."
IMDA,Public Morals,"Content must not depict or promote sexual behaviour, nudity, or sexually suggestive material beyond what is appropriate for the intended audience classification."
IMDA,Public Morals,"Advertisements must not normalise or glamorise drug use, substance abuse, or other illegal activities."
IMDA,Public Morals,"Content must not contain excessive violence, cruelty, or graphic depictions of harm that could disturb or desensitise the general public."
IMDA,Public Morals,"Advertisements targeting or accessible to minors must not contain material that is inappropriate for their age group, including sexual content, violence, or coarse language."
IMDA,Public Morals,"Content must not promote or depict gambling in a manner that suggests it is a reliable source of income or a solution to financial difficulties."
IMDA,National Interest,"Advertisements must not undermine public confidence in the government, judiciary, or public institutions of Singapore."
IMDA,National Interest,"Content must not threaten national security, public order, or the sovereignty of Singapore."
IMDA,National Interest,"Advertisements must not promote or incite acts of terrorism, sedition, or subversion against the state."
IMDA,National Interest,"Content must not misrepresent Singapore's national symbols, including the flag, coat of arms, or national anthem, for commercial purposes without authorisation."
IMDA,National Interest,"Advertisements must not contain material that could damage Singapore's international relations or diplomatic standing."
IMDA,National Interest,"Content must not promote foreign political causes or ideologies that conflict with Singapore's national interests or social cohesion."
IMDA,Consumer Protection,"Advertisements must not contain false or misleading claims about products or services that could deceive consumers."
IMDA,Consumer Protection,"Content must clearly distinguish advertising material from editorial or informational content to prevent consumer confusion."
IMDA,Consumer Protection,"Advertisements must not exploit consumers' lack of knowledge or experience to promote products or services inappropriately."
IMDA,Consumer Protection,"Content making health, safety, or performance claims must be substantiated by credible evidence and must not exaggerate benefits."
IMDA,Consumer Protection,"Advertisements must not use fear, superstition, or undue pressure to coerce consumers into purchasing decisions."
IMDA,Consumer Protection,"Content must clearly disclose material terms, conditions, and limitations of offers, promotions, or guarantees without burying them in fine print."
ASAS,Decency,"Advertisements must not contain statements or visual presentations that offend prevailing standards of decency in Singapore."
ASAS,Decency,"Content must not use crude, vulgar, or offensive language, imagery, or innuendo that would be considered indecent by reasonable community standards."
ASAS,Decency,"Advertisements must not objectify or demean any person or group based on gender, appearance, or physical characteristics."
ASAS,Decency,"Content must not exploit or trivialise sensitive social issues such as domestic violence, self-harm, or mental illness for commercial gain."
ASAS,Decency,"Advertisements must not use shock tactics, gratuitous nudity, or sexually provocative imagery solely to attract attention without relevance to the product."
ASAS,Decency,"Content depicting intimate relationships must do so tastefully and must not include explicit sexual content or imagery unsuitable for general audiences."
ASAS,Honesty,"Advertisements must be truthful and must not mislead consumers by omission, ambiguity, exaggeration, or implication."
ASAS,Honesty,"Content must not make claims that cannot be substantiated with objective evidence available at the time of publication."
ASAS,Honesty,"Advertisements using testimonials or endorsements must reflect genuine experiences and must not fabricate or misrepresent consumer opinions."
ASAS,Honesty,"Content must not use misleading price comparisons, fake discounts, or deceptive pricing strategies to create a false sense of urgency or value."
ASAS,Honesty,"Advertisements must not misrepresent the nature, composition, origin, or method of manufacture of a product or service."
ASAS,Honesty,"Content using scientific or statistical claims must present data accurately and in proper context, without cherry-picking results to mislead consumers."
ASAS,Social Responsibility,"Advertisements must not encourage or condone behaviour that is harmful to individuals, society, or the environment."
ASAS,Social Responsibility,"Content must not promote excessive consumption, waste, or environmentally destructive practices without acknowledging their impact."
ASAS,Social Responsibility,"Advertisements must not exploit children's credulity, loyalty, or vulnerability, and must not pressure children to purchase or persuade parents to buy."
ASAS,Social Responsibility,"Content must not portray dangerous activities or stunts without clear safety disclaimers, especially when the audience may include impressionable viewers."
ASAS,Social Responsibility,"Advertisements must not promote discrimination, bullying, or social exclusion based on personal characteristics or circumstances."
ASAS,Social Responsibility,"Content must not trivialise or make light of serious public health issues, safety concerns, or environmental crises."
ASAS,Alcohol,"Advertisements for alcoholic beverages must not target persons under the legal drinking age of 18 or feature models who appear to be minors."
ASAS,Alcohol,"Content promoting alcohol must not suggest that drinking enhances social, sexual, or professional success or is necessary for enjoyment."
ASAS,Alcohol,"Advertisements for alcohol must not encourage excessive or irresponsible drinking, binge drinking, or drinking and driving."
ASAS,Alcohol,"Content must not associate alcohol consumption with physical performance, athletic achievement, or improved mental capabilities."
ASAS,Alcohol,"Advertisements for alcohol must not be placed in media primarily directed at minors or in proximity to content aimed at young audiences."
ASAS,Alcohol,"Content promoting alcoholic beverages must include responsible drinking messages and must not depict intoxication in a positive or humorous light."
ASAS,Health Supplements,"Advertisements for health supplements must not claim to prevent, treat, or cure any disease or medical condition unless approved by the Health Sciences Authority."
ASAS,Health Supplements,"Content promoting health products must not use fear of illness or disease to pressure consumers into purchasing supplements."
ASAS,Health Supplements,"Advertisements for health supplements must clearly state that the product is not a medicine and is not intended to replace medical treatment."
ASAS,Health Supplements,"Content must not feature healthcare professionals endorsing health supplements in a manner that implies medical recommendation unless properly qualified."
ASAS,Health Supplements,"Advertisements for health supplements must not make absolute claims of safety or efficacy without proper clinical evidence and regulatory approval."
ASAS,Health Supplements,"Content promoting health supplements must not target vulnerable populations such as the elderly or chronically ill with exaggerated benefit claims."
ASAS,Financial Services,"Advertisements for financial products must clearly disclose all material risks, fees, charges, and conditions associated with the product or service."
ASAS,Financial Services,"Content promoting loans, credit, or investment products must not obscure the total cost of borrowing or downplay the risk of financial loss."
ASAS,Financial Services,"Advertisements for financial services must not guarantee returns or profits, or present past performance as indicative of future results without appropriate disclaimers."
ASAS,Financial Services,"Content must not target financially vulnerable individuals with predatory lending offers or high-interest credit products without clear risk warnings."
ASAS,Financial Services,"Advertisements for financial products must comply with Monetary Authority of Singapore guidelines and must not make claims inconsistent with the product's risk profile."
ASAS,Financial Services,"Content promoting financial services must not use complex jargon or technical language designed to obscure material terms from ordinary consumers."
ASAS,Food and Beverage,"Advertisements for food and beverages must not make misleading nutritional or health claims that are not supported by scientific evidence."
ASAS,Food and Beverage,"Content promoting food products must not encourage unhealthy eating habits, excessive consumption, or poor dietary choices, especially when targeting children."
ASAS,Food and Beverage,"Advertisements for food and beverages must accurately represent the product's appearance, size, and contents without using deceptive photography or staging."
ASAS,Food and Beverage,"Content must not falsely claim that a food product is organic, natural, or free from certain ingredients unless such claims can be verified and substantiated."
