category,rule,description,severity,content_type,example_violation
Religious Sensitivity,No mockery of Islam,"Content must not mock, ridicule, or disrespect Islam, its prophets, the Quran, or Islamic practices such as prayer, fasting, or pilgrimage.",High,text,"Ad slogan: 'Why pray when you can play?'"
Religious Sensitivity,No mockery of other religions,"Content must not mock, ridicule, or disrespect Buddhism, Hinduism, Christianity, Sikhism, or any other religion practiced in Malaysia.",High,text,"Ad comparing religious figures unfavorably"
Religious Sensitivity,Halal compliance in food ads,"Food and beverage advertisements must not depict non-halal items (pork, alcohol) alongside halal products or in contexts implying Muslim consumption.",High,image,"Beer bottle next to a mosque image"
Religious Sensitivity,Respect religious holidays,"Advertisements must treat Hari Raya, Chinese New Year, Deepavali, Christmas, Thaipusam, and other religious holidays with respect and cultural accuracy.",Medium,text,"Mocking Hari Raya greetings for comedic effect"
Religious Sensitivity,No misuse of religious symbols,"Religious symbols (crescent moon, cross, Om, dharma wheel) must not be used in commercial contexts without cultural sensitivity and appropriateness.",High,image,"Using a crescent moon as a brand logo for alcohol"
Religious Sensitivity,Respect for prayer times,"Content must not trivialize or make fun of the five daily Islamic prayer times or the azan (call to prayer).",High,video,"Ad showing someone ignoring azan for shopping"
Religious Sensitivity,Appropriate Ramadan content,"During Ramadan, advertisements must be sensitive to fasting practices and avoid showing excessive food consumption or indulgent behavior.",Medium,text,"Promoting all-you-can-eat buffets during fasting hours"
Ethnic and Racial,No racial stereotyping,"Advertisements must not portray any ethnic group (Malay, Chinese, Indian, Orang Asli, East Malaysian natives) using stereotypes or caricatures.",High,text,"Depicting Chinese Malaysians as money-obsessed"
Ethnic and Racial,No hate speech,"Content must not contain language that promotes hatred, contempt, or discrimination against any ethnic or racial group.",High,text,"Using racial slurs or derogatory terms for any group"
Ethnic and Racial,Fair representation,"Advertisements should strive for fair and balanced representation of Malaysia's multiethnic society without tokenism.",Medium,image,"Only using one ethnicity in a 'Malaysian' campaign"
Ethnic and Racial,No skin color discrimination,"Content must not promote skin whitening as superior or imply darker skin tones are inferior or undesirable.",High,image,"Before/after ads implying dark skin is a problem"
Ethnic and Racial,Respect for indigenous peoples,"Content involving Orang Asli or Sabah/Sarawak indigenous groups must portray them with dignity and avoid exoticization.",Medium,text,"Portraying Orang Asli as 'primitive' or 'backward'"
